Number;ID;Contract Address;Symbol;Name;Scam;Scam Boolean
51;CUR-001;0x34F3C739FDa443997B5b2CAC9cb42e448B28d45D;McLaren;McLaren Metaverse;yes;1
52;CUR-002;0x2E732AF1631c5711297E9519b4Dd7f2d8F303B45;FLOJA;FlokiNinja;yes;1
53;CUR-003;0x6B54a07184e366b05bDf103208182C1701f3e142;DawnInu;Dawn Inu;yes;1
54;CUR-004;0x15617d1499873c139079df7d473516D9edAc8cC1;GRINU;Green Inu;no;0
55;CUR-005;0x938e87081ECE1719761BB5783c412FD375A187D3;REBOOT;Reboot;yes;1
56;CUR-006;0xDb4d815108041Cb952f2F1956811A9246733EbAf;THUNDERPRO;ThunderProtocol;yes;1
57;CUR-007;0xB0aFb188EBC062D2C859f002F3560950ff5745da;ANYA;ANYA;no;0
58;CUR-008;0xa77E85C50c3cae650602A3bCEcB14A9ddD9D6C5A;BDT;Bored Dogs Token;yes;1
59;CUR-009;0x11C1A7E455B083A44BCCF8Ee262662E30Cd15f42;ROBO;Robo Inu;yes;1
60;CUR-010;0xd075e95423C5c4BA1E122CaE0f4CdFA19b82881b;wPE;OPES Finance;no;0
61;CUR-011;0x0887e08eE8EFD57ae493491EaE8C4dFb3912DB25;JOKER;Joker Inu;yes;1
62;CUR-012;0x2A06b59D35db5668e8914886943A4643e88C76F3;ZENDOR;God Of Pump;no;0
63;CUR-013;0x7B26dfFbAB442A13e34545bb83491555424d60b8;UDC;Unstable Dollar Coin;no;0
64;CUR-014;0xc5Be869f075989434144e62416c2EDbBe5898AA5;Rebel;Rebel;no;0
65;CUR-015;0x26D0Fb38653394df8ff3D26751a11A86B178193e;WEED;Weed Coin;no;0
66;CUR-016;0x94e38584ddC8D62766137BFb36E760791F5007B4;CLOWNA;Unstable Kwon;yes;1
67;CUR-017;0x83B8E6dF9956d2e862264b4D550e2f3B7Bf72E88;MUPPY;Muppy Inu;yes;1
68;CUR-018;0xdE94dD0Bb86Ad596e149cB0D39d3DE7f550E8279;VVV;Veni Vidi Vici;no;0
69;CUR-019;0x557F276867382ac894507e58a10F63884EA059fA;BULLS;ETHBULL;yes;1
70;CUR-020;0x62F43F218594e01397Df63BC458C1d35eb4a26CE;Luna Dao;Luna Dao;yes;1
71;CUR-021;0x5B65E83A9e9B151ABe42f5cDa53efD1Ca52FBAF3;JiraiyaInu;JiraiyaInu;no;0
72;CUR-022;0xeCB5C82C02fEf6dc93C51A3A1e8462BC0De246d2;SLUNA;SHIBLUNA;yes;1
73;CUR-023;0x44D2d740a5e346a66Dd7c7E6919814a44441A64C;MetKit;MetaKitties;yes;1
74;CUR-024;0x8632604d93031d39f6DFE5ec1dAB07150121B980;Flash;Flash;no;0
75;CUR-025;0xF2a76bE6BF3C1A9E6BaFCDd9d07BfCeb7A5C1b17;SafeApeInu;SafeApeInu;yes;1
76;CUR-026;0xf180fc17b90edcD295EcF4e02d0BC61aaBCf311c;NERC;IgnoshaERC;yes;1
77;CUR-027;0xE0B6bAC6BbBE79FdFDb6A3610153625f6a9c7E72;AIElon;AIElon;no;0
78;CUR-028;0xb226e0eDA3C55Aca2cfF18939a60Da16cDD59E91;cLUNA;New Community Luna;yes;1
79;CUR-029;0xe84A52cfe37dd2e11CC5576b41bBC1C9B8447fd2;DRYP;Dripto;yes;1
80;CUR-030;0x3F6E8bF2202BACc80ff5c7B239319eB7bB2e881b;BIT;Bonds Investment Token;no;0
81;CUR-031;0x91d408D19a31AAb036f5F6D08b741022fa51aa46;STEPDOGE;Step Doge;yes;1
82;CUR-032;0xfCf42c8e37a1B455d483B6a42C8Cb79d4bBb4Ee1;DRYP;Dripto;yes;1
83;CUR-033;0x2041eCCfcEa0C75791694eC01760EC756a455633;TFS;The Fund Settlement;yes;1
84;CUR-034;0xF25d6441008265fFF2E037fe9FB7E2632f0e76Dd;LINU;LIB INU;yes;1
85;CUR-035;0xf33bD23Cde5882DCeFF5dCA0D2F4f8c09E896f26;HINU;Hivemind  Inu;yes;1
86;CUR-036;0xcf4131aE74EDf5185C10039Cd2b215B20c5a6E68;SHINLUNA;ShinLuna Inu;yes;1
87;CUR-037;0x95C26cADeC5c61F337340AD89aEDf2Aca382126E;MOONLUNA;MoonLUNA Inu;yes;1
88;CUR-038;0xC26EDaACC026a22157C292cA67F505af4a428DE7;LunB;LunaBurn;no;0
89;CUR-039;0x289b96C85f13bB7535C804C4026107Cd43a395e4;🌜;Lunaris Maximus;yes;1
90;CUR-040;0xa583D8A7dEB5bB6316b5fabC140fc43d60440f6f;META;Meta Pepe Inu;yes;1
91;CUR-041;0x53F6d83BD10146D59CAD1f68932AE9A368408465;LUNATAMA;LunaTamaInu;yes;1
92;CUR-042;0x3e17d7CD58C9a325B0AdeDF6b4eDD99D5aAb46E3;KWRLD;KONG;yes;1
93;CUR-043;0xe0a235afDF08b641fD2701d13A8F6989Cd1c05DE;LUNATAMA;LunaTamaInu;yes;1
94;CUR-044;0xA8CD804047B72bfa9ef1A24BEfbCCD7a15121Dc9;Illuminaughty;Illuminaughty;yes;1
95;CUR-045;0xc87cee866ebdfc4F0E07E80157f0f4cBb7Ad329e;MPRINT;MultiPrint;no;0
96;CUR-046;0x6fd3463a974AD719d27096d12a1CF98706b40813;DoKwonBucks;LUNAPrinter;yes;1
97;CUR-047;0xc5a7EbEdce820F06a610289370c2430596E81fa8;¥€$;MANDAMUS;yes;1
98;CUR-048;0x8325E09C1675F46fd4eBf00E2004541914CCC461;BRX;BearX;yes;1
99;CUR-049;0x0445cFFeb53c05993a5Caee9a7D55e4c794F0745;贈り物;Okurimono;yes;1
100;CUR-050;0x0A2EaEe2C6456B9Dcae37C455631A03a30F5f012;PLATONIC;Iconic Platonic;yes;1
101;CUR-051;0x1BF0c586176Fd47b2e6285E4293F8B65bcc8Ebff;LUNAM 🌝;LUNA MOON;yes;1
102;CUR-052;0x71702bF2793A8D0F4632FA24125B2687e752557e;MAMAK;MamaKong      ;yes;1
103;CUR-053;0xA4aD7faC443EdA0CCA9119ef499D88a0546a1b92;LUNAIR;Luna Airdrop;yes;1
104;CUR-054;0x0E4a274911e0E0e38Ab1044Fd7AEaD45101f1C19;PYTHAGORAS;Pythagoras Token;no;0
105;CUR-055;0x3cfFB402545b7FBDDC66f751c76c4aEde2e43002;LUNABANK;LunaBank;yes;1
106;CUR-056;0x1Ae3043157B5FcAD673c0319bD43069fD6DC18Aa;DIP;The Dip;yes;1
107;CUR-057;0xFC9e963A37cBAfdbC037fffF3385CE236Ea0b5BF;HELLSING;Hellsing Inu;yes;1
108;CUR-058;0xE2C502C2C803Df5c7B4D8a9De67C8CC2EFA6Cf3d;MewTwo;MewTwo;yes;1
109;CUR-059;0x78132543D8E20D2417d8a07D9ae199D458A0D581;LINU;Luna Inu;no;0
110;CUR-060;0x0bEC3cA336b9b4616734f83EAad3DCB8Df442e3c;MuskBot;MuskBot;yes;1
111;CUR-061;0x767De2C9Ad6174F457fFf9fFbE7B8e13fFdB97eb;ROTTS;Rotts       ;yes;1
112;CUR-062;0xAbe07448358369867c2c3ACF891B7124c85AC5Cc;zkSync;zkSync;yes;1
113;CUR-063;0xE846b2D21533F05BcCd4679CC535dD8B45c6Ae6b;KKMA;Koakuma;yes;1
114;CUR-064;0x01D76Bb4fC20b547D7C88E216605E35Dd8F568E2;LUNA;V3 Luna Token;yes;1
115;CUR-065;0x1726b8d5dc3A93CC08Fa079477d4EBe782b25Bf7;SHOX;SHINJIRO;no;0
116;CUR-066;0xE77AE42e334845aE8d8dd620ac7E572D7c021b8A;Nah;Nah;yes;1
117;CUR-067;0x21FAc85D7eA0b3793385Cca4478819Dfafe0Fa3D;AKAMARU;Akamaru;yes;1
118;CUR-068;0x56AFea9E65E1d696134feBE52b91ED01149e8e79;Luna Floki;Luna Floki;yes;1
119;CUR-069;0x547afA3977103928Ca13B371a61bbc9DA51676e3;ALARM;Wake Me Up;yes;1
120;CUR-070;0x286dB31F7e85a4822d72132470c7D53E1A598af2;ECLIPSEINU;EclipseInu;yes;1
121;CUR-071;0xd37b1258d62B787AEc16c0c329d8f5167700A842;Luna Floki;Luna Floki;yes;1
122;CUR-072;0x0406e3C367B3Aab530B7171A704A7DC98dB328A1;KWINU;Kwon Inu;yes;1
123;CUR-073;0x87F127A6598EdbdE9C26F9c0f9b973A3272953A8;TBOX;The BOX Project;yes;1
124;CUR-074;0x5d6e0e1741117Bf9535b7aeAE0fD9Ac921CE0B1f;SINU;SunaInu;yes;1
125;CUR-075;0x9F3d5fb4fE5Df9Ef26b22040feb922194dB7E480;FkLuna;Fuck Luna;yes;1
126;CUR-076;0x6169C5cAde426321B115b46d6E7219F4C99ca5a1;COCO 🥥;Coconut;yes;1
127;CUR-077;0x02C989E77432aFD6d093FB6201C10984701B1B67;FOSSA;Fossa Inu;yes;1
128;CUR-078;0x550ac883624B358Efe03FCEeFC63F430e3df3d95;BoBo;BoBoBread;yes;1
129;CUR-079;0x976baE5559bc525edCA786D268f1680389ec41a6;$COL;CULT OF LUNA;yes;1
130;CUR-080;0xAe8Aa261C91cf6930E9Fbc88979eD2F6086f8077;ASCENT;LunarAscent;yes;1
131;CUR-081;0x3589450473D7257A79BE7AE84Ad67c0fBe65282C;LUNA APE;Luna Ape;yes;1
132;CUR-082;0x17c277D8FC4F70D8fC39ca4D814E13a1eA8250Ba;$COL;CULT OF LUNA;yes;1
133;CUR-083;0x0937277ce8F2BA175BBd2FcF351155fB6dDefB8C;DANGER;Dangerous Times;yes;1
134;CUR-084;0x4AaB2a418352C8665804daF4cccD4C2b928659c7;LUNA;LunaMania;yes;1
135;CUR-085;0x119426A1cfdf54425D64363f6A6ED83cE7ac90CC;MOONA;TERRAMOONA;yes;1
136;CUR-086;0xfa0c8e4fEe3e3a068f198b0594E7F64076cB18c2;LUNANOBI;TERRANOBI;yes;1
137;CUR-087;0xe1C0B22f3DF27c42139A6DBcB7f7228039d69582;RMD;RMDEngine;yes;1
138;CUR-088;0x11F9Db4b9712bBbdb6bBD0248d35DF6ED53b7E92;LUKI;LunaKiller;yes;1
139;CUR-089;0x82eCe99D07289bd649b5adCAA8C9977Ff178438f;カイツブリ;KAITSUBURIDAO;yes;1
140;CUR-090;0x280dc8474A4968F79A811798a70b592Bf59663c0;LUNATUNES;Luna Tunes Inu;yes;1
141;CUR-091;0xb7C2fcD6d7922eddd2A7A9B0524074A60D5b472C;VST;VentiSwap Token;no;0
142;CUR-092;0x9717aA3a3D79eFD0E75517EAFdFA7d6d2b139a8A;SaitDAO;SaitamaDAO;no;0
143;CUR-093;0xE232E9160019a5c55741669557f1681039d93101;LUPR;Luna Predator;yes;1
144;CUR-094;0x9A8187A33A3CD0A1c917B9027B6de5f10F0C2544;〤;Ryft;yes;1
145;CUR-095;0x2bB84d1C53266435924b67cC051f362f45001313;BLUNA;BABYLUNA;yes;1
146;CUR-096;0x0dD3Ac98ca96e222aF65F41Ae2C86796d56a0e4e;LuBu;LunaBurn;yes;1
147;CUR-097;0x0A0c0C86d24469Ab8Dc4CD11227E81c5858771B7;GMLuna;GMLuna;yes;1
148;CUR-098;0xb46Bc655E44E8aBa28C83b82A37ABC10F34e53f7;eKwon;ElonKwon;yes;1
149;CUR-099;0x49EF70737Df95c30b76bc497ADBeD91b58848FD2;LunaDAO;LunaDAO;yes;1
150;CUR-100;0x05918d674732bD5e4656BBf7F317AD2c324c88c9;TUNA;Luna Tuna;yes;1
151;CUR-101;0x32914A64c1D9539F7c0341d258A5241EfB3d4541;KAKASHI;Kakashi Portal;yes;1
152;CUR-102;0xDC49fA05CCD2375b1F2c807bf649cbdbf8A87052;LFG;LUNA FUCKING GO;no;0
153;CUR-103;0xdB5c9B5a9b8fA9EE9643FE96F88b7F813f895eb0;DAOSWAP;DAOSWAP;yes;1
154;CUR-104;0x76334651bC2D704BED709682A14Cf77EB06379c9;LUNAB;Lune Bear;yes;1
155;CUR-105;0x8cBb11B1Eb53D421442a48631770e97C51Cdc8Ed;LUNAMOON;LUNAMOON;yes;1
156;CUR-106;0xB01277aE088905B8BDFC2bB6A94555750F661C1D;LUNAMOON;LUNAMOON;yes;1
157;CUR-107;0x6634Ed9334BE2e4A896e1A9C106F90ec4d7e3F1B;BMI;Blood Moon Inu;yes;1
158;CUR-108;0x636a1a1867261853601BcA13f6F628f466aD800c;RVLT;Revolt 2 Earn;yes;1
159;CUR-109;0xB6C8f96b13CE97d1F800254A7318aCf2fF194989;LUNAS;LUNAS;yes;1
160;CUR-110;0xD549A1E8604913D14eFea347Fd55028887E25d32;DWI;Dana White Inu;yes;1
161;CUR-111;0xa38E3Bc1498c8d443dd8bB8c52e5EebC5E8D1FbC;CRAB;Crab Coin;yes;1
162;CUR-112;0x0e538D05A5fD37665a2bc702535ebFf294852Afb;$LUNAM;LUNATICS MANKIND;yes;1
163;CUR-113;0x9082b549dE74a48b9072eB2f4283bEA77EA27eb4;LUKA;LUKA INU;no;0
164;CUR-114;0x535D8A3E87C0cf6e6fa40AfB490E67b767D6D619;LIBELON;LibeElon       ;yes;1
165;CUR-115;0xa71d0588EAf47f12B13cF8eC750430d21DF04974;QOM;Shiba Predator;no;0
166;CUR-116;0xfF1515798880DFA79088c56bFC2619007c47ad28;QOM2;Shiba Predator Reflections;yes;1
167;CUR-117;0x6FE6660fF62693182489433Ee54f90b55a07b11C;RED;Blood Moon;yes;1
168;CUR-118;0x6a0d1531fB4e806758dB36fd124a32FeCa0F02EE;LIFT;Uplift;yes;1
169;CUR-119;0x19B423E5131D8E4996A18E69d0cB99674BA34C21;APE2;APE Reflections;yes;1
170;CUR-120;0x4d224452801ACEd8B2F0aebE155379bb5D594381;APE;ApeCoin;no;0
171;CUR-121;0x63c95d51220F9d4B2C1D997A949776c16abAf2D0;SBT;Soulbound Token;yes;1
172;CUR-122;0x7065b05fACA9046E774fDf8D08B1D2A89e4281Ea;LUNAMARS;LunaMars;yes;1
173;CUR-123;0x29be0185708c1E2dD0B9636F22CFADc203a3B5d6;Spread;Spread DAO;no;0
174;OLD-001;0x39AA39c021dfbaE8faC545936693aC917d5E7563;cUSDC;Compound USD Coin;no;0
175;OLD-002;0x5d3a536E4D6DbD6114cc1Ead35777bAB948E3643;cDAI;Compound Dai;no;0
176;OLD-003;0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599;WBTC;Wrapped BTC;no;0
177;OLD-004;0x5e74C9036fb86BD7eCdcb084a0673EFc32eA31cb;sETH;Synth sETH;no;0
178;OLD-005;0x4D13d624a87baa278733c068A174412AfA9ca6C8;XBASE;Eterbase Coin;no;0
179;OLD-006;0x86FADb80d8D2cff3C3680819E4da99C10232Ba0F;EBASE;EURBASE Stablecoin;no;0
180;OLD-007;0x4470BB87d77b963A013DB939BE332f927f2b992e;ADX;AdEx;no;0
181;OLD-008;0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F;SNX;Synthetix Network Token;no;0
182;OLD-009;0x3A9FfF453d50D4Ac52A6890647b823379ba36B9E;SHUF;Shuffle.Monster V3;no;0
183;OLD-010;0xaeC2E87E0A235266D9C5ADc9DEb4b2E29b54D009;SNGLS;SingularDTV;no;0
184;OLD-011;0x1776e1F26f98b1A5dF9cD347953a26dd3Cb46671;NMR;Numeraire;no;0
185;OLD-012;0x514910771AF9Ca656af840dff83E8264EcF986CA;LINK;ChainLink Token;no;0
186;OLD-013;0xC0F9bD5Fa5698B6505F643900FFA515Ea5dF54A9;DONUT;Donut;no;0
187;OLD-014;0x2b591e99afE9f32eAA6214f7B7629768c40Eeb39;HEX;HEX;no;0
188;OLD-015;0xaaAEBE6Fe48E54f431b0C390CfaF0b017d09D42d;CEL;Celsius;no;0
189;OLD-016;0x960b236A07cf122663c4303350609A66A7B288C0;ANT;Aragon Network Token;no;0
190;OLD-017;0x78a685E0762096ed0F98107212e98F8C35A9D1D8;Dap;Bloc;no;0
191;OLD-018;0x07597255910a51509CA469568B048F2597E72504;1UP;Uptrennd;yes;1
192;OLD-019;0xD46bA6D942050d489DBd938a2C909A5d5039A161;AMPL;Ampleforth;no;0
193;OLD-020;0x57Ab1ec28D129707052df4dF418D58a2D46d5f51;sUSD;Synth sUSD;no;0
194;OLD-021;0x9Cb2f26A23b8d89973F08c957C4d7cdf75CD341c;DZAR;Digital Rand;no;0
195;OLD-022;0x5A844590c5b8f40ae56190771d06c60b9ab1Da1C;RCLE;Ross Campbell Legal Engineering;yes;1
196;OLD-023;0xcD62b1C403fa761BAadFC74C525ce2B51780b184;ANJ;Aragon Network Juror;no;0
197;OLD-024;0xB4EFd85c19999D84251304bDA99E90B92300Bd93;RPL;Rocket Pool;no;0
198;OLD-025;0x737F98AC8cA59f2C68aD658E3C3d8C8963E40a4c;AMN;Amon;no;0
199;OLD-026;0x0Cf0Ee63788A0849fE5297F3407f701E122cC023;XDATA;Streamr (old);no;0
200;OLD-027;0x1BeEF31946fbbb40B877a72E4ae04a8D1A5Cee06;PAR;Parachute;no;0
201;OLD-028;0x0000000000b3F879cb30FE243b4Dfee438691c04;GST2;Gastoken.io;no;0
202;OLD-029;0x80fB784B7eD66730e8b1DBd9820aFD29931aab03;LEND;EthLend Token;no;0
203;OLD-030;0x667088b212ce3d06a1b553a7221E1fD19000d9aF;WINGS;WINGS;no;0
204;OLD-031;0x0f7F961648aE6Db43C75663aC7E5414Eb79b5704;XIO;XIO Network;no;0
205;OLD-032;0x7CaD0Ed5A0B71C726353a6BaD37bA7cFa4cE0E60;MANU;ManuCoin;yes;1
206;OLD-033;0xE41d2489571d322189246DaFA5ebDe1F4699F498;ZRX;0x Protocol Token;no;0
207;OLD-034;0x740623d2c797b7D8D1EcB98e9b4Afcf99Ec31E14;DYT;DoYourTip;no;0
208;OLD-035;0xea5f88E54d982Cbb0c441cde4E79bC305e5b43Bc;PARETO;Pareto Network Token;no;0
209;OLD-036;0x625aE63000f46200499120B906716420bd059240;aSUSD;Aave Interest bearing SUSD;no;0
210;OLD-037;0xDF2C7238198Ad8B389666574f2d8bc411A4b7428;MFT;Mainframe Token;no;0
211;OLD-038;0xB6eD7644C69416d67B522e20bC294A9a9B405B31;0xBTC;0xBitcoin Token;no;0
212;OLD-039;0x25B63bcA43914b7d7CcD59892b762c06493a04E6;ITALIA;ITALIA;yes;1
213;OLD-040;0x40FD72257597aA14C7231A7B1aaa29Fce868F677;XOR;Sora Token;no;0
214;OLD-041;0x4575f41308EC1483f3d399aa9a2826d74Da13Deb;OXT;Orchid;no;0
215;OLD-042;0xd9D4A7CA154fe137c808F7EEDBe24b639B7AF5a6;CER;Cereneum;yes;1
216;OLD-043;0x515bA0a2E286AF10115284F151cF398688A69170;TENX;TenX Token;yes;1
217;OLD-044;0x93ED3FBe21207Ec2E8f2d3c3de6e058Cb73Bc04d;PNK;Pinakion;no;0
218;OLD-045;0x08130635368AA28b217a4dfb68E1bF8dC525621C;AfroX;AfroDex;yes;1
219;OLD-046;0x697eF32B4a3F5a4C39dE1cB7563f24CA7BfC5947;ISLA;Insula;no;0
220;OLD-047;0x8400D94A5cb0fa0D041a3788e395285d61c9ee5e;UBT;UniBright;no;0
221;OLD-048;0x0F5D2fB29fb7d3CFeE444a200298f468908cC942;MANA;Decentraland MANA;no;0
222;OLD-049;0xbF4a2DdaA16148a9D0fA2093FfAC450ADb7cd4aa;ETHMNY;Ethereum Money;no;0
223;OLD-050;0xa1d65E8fB6e87b60FECCBc582F7f97804B725521;DXD;DXdao;no;0
224;OLD-051;0xdd974D5C2e2928deA5F71b9825b8b646686BD200;KNC;Kyber Network Crystal;no;0
225;OLD-052;0x5228a22e72ccC52d415EcFd199F99D0665E7733b;pBTC;pTokens BTC;no;0
226;OLD-053;0x2F141Ce366a2462f02cEA3D12CF93E4DCa49e4Fd;FREE;Free Coin;no;0
227;OLD-054;0x4156D3342D5c385a87D264F90653733592000581;SALT;Salt;no;0
228;OLD-055;0x8A9C67fee641579dEbA04928c4BC45F66e26343A;JRT;Jarvis Reward Token;no;0
229;OLD-056;0xaD5Fe5B0B8eC8fF4565204990E4405B2Da117d8e;TRXC;TRONCLASSIC;yes;1
230;OLD-057;0x4a57E687b9126435a9B19E4A802113e266AdeBde;FXC;Flexacoin;no;0
231;OLD-058;0xCc394f10545AeEf24483d2347B32A34a44F20E6F;VGT;Vault Guardian Token;no;0
232;OLD-059;0x1985365e9f78359a9B6AD760e32412f4a445E862;REP;Reputation;no;0
233;OLD-060;0x607F4C5BB672230e8672085532f7e901544a7375;RLC;iEx.ec Network Token;no;0
234;OLD-061;0xe25b0BBA01Dc5630312B6A21927E578061A13f55;SHIP;ShipChain SHIP;no;0
235;OLD-062;0x7a5b6651008108a49e07f4D601215c4374005C90;POL;Polesino;yes;1
236;OLD-063;0x0000000000085d4780B73119b644AE5ecd22b376;TUSD;TrueUSD;no;0
237;OLD-064;0xF970b8E36e23F7fC3FD752EeA86f8Be8D83375A6;RCN;Ripio Credit Network Token;no;0
238;OLD-065;0x1dFEc1Cf1336c572c2D2E34fe8F6Aa2F409C8251;MTBK;metalblock;yes;1
239;OLD-066;0x047686fB287e7263A23873dEa66b4501015a2226;CUTE;Cute Coin;yes;1
240;OLD-067;0x255Aa6DF07540Cb5d3d297f0D0D4D84cb52bc8e6;RDN;Raiden Token;no;0
241;OLD-068;0xCeD4E93198734dDaFf8492d525Bd258D49eb388E;EDO;Eidoo Token;no;0
242;OLD-069;0x679131F591B4f369acB8cd8c51E68596806c3916;TLN;Trustlines Network Token;no;0
243;OLD-070;0x744d70FDBE2Ba4CF95131626614a1763DF805B9E;SNT;Status Network Token;no;0
244;OLD-071;0xF629cBd94d3791C9250152BD8dfBDF380E2a3B9c;ENJ;Enjin Coin;no;0
245;OLD-072;0xDcfE18bc46f5A0Cd0d3Af0c2155d2bCB5AdE2fc5;HUE;Hue;no;0
246;OLD-073;0x8f8221aFbB33998d8584A2B05749bA73c37a938a;REQ;Request Token;no;0
247;OLD-074;0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0;MATIC;Matic Token;no;0
248;OLD-075;0xB62132e35a6c13ee1EE0f84dC5d40bad8d815206;NEXO;Nexo;no;0
